,race,duplicate,time,class
23-267-IgG3-1_S23,Holstein,NO,NO,IgG3
24-268-IgG3-1_S24,Ayrshire,NO,NO,IgG3
25-271-IgG3-1_S25,Ayrshire,NO,NO,IgG3
27-266-IgG3-1_S27,Ayrshire,NO,NO,IgG3
28-272-IgG3-1_S28,Ayrshire,NO,NO,IgG3
29-273-IgG3-1_S29,Ayrshire,NO,NO,IgG3
3-241-IgG3-1_S3,Holstein,241,241,IgG3
30-275-IgG3-1_S30,Ayrshire,NO,NO,IgG3
31-277-IgG3-1_S31,Ayrshire,NO,NO,IgG3
32-234-IgG3-1_S32,Holstein,NO,234,IgG3
33-241-IgG3-1_S33,Holstein,NO,241,IgG3
34-253-IgG3-1_S34,Holstein,NO,253,IgG3
35-603-IgG3-1_S35,Holstein,NO,603,IgG3
36-618-IgG3-1_S36,Holstein,NO,618,IgG3
37-278-IgG3-1_S37,Holstein,NO,278,IgG3
38-9004-IgG3-1_S38,Holstein,NO,9004,IgG3
39-279-IgG3-1_S39,Holstein,NO,279,IgG3
4-241-IgG3-1_S4,Holstein,241,NO,IgG3
40-281-IgG3-1_S40,Holstein,NO,281,IgG3
41-291-IgG3-1_S41,Holstein,NO,291,IgG3
42-637-IgG3-1_S42,Holstein,NO,637,IgG3
43-641-IgG3-1_S43,Holstein,NO,641,IgG3
44-720-IgG3-1_S44,Holstein,NO,720,IgG3
5-253-IgG3-1_S5,Holstein,253,253,IgG3
6-253-IgG3-1_S6,Holstein,253,NO,IgG3
7-603-IgG3-1_S7,Holstein,603,603,IgG3
8-603-IgG3-1_S8,Holstein,603,NO,IgG3
9-618-IgG3-1_S9,Holstein,618,618,IgG3
1-234-IgGM1-1_S45,Holstein,234,234,IgGM1
10-618-IgGM1-1_S54,Holstein,618,NO,IgGM1
11-278-IgGM1-1_S55,Holstein,NO,278,IgGM1
12-9004-IgGM1-1_S56,Holstein,NO,9004,IgGM1
13-279-IgGM1-1_S57,Holstein,NO,279,IgGM1
14-281-IgGM1-1_S58,Holstein,NO,281,IgGM1
15-291-IgGM1-1_S59,Holstein,NO,291,IgGM1
16-637-IgGM1-1_S60,Holstein,NO,637,IgGM1
17-641-IgGM1-1_S61,Holstein,NO,641,IgGM1
18-720-IgGM1-1_S62,Holstein,NO,720,IgGM1
19-257-IgGM1-1_S63,Ayrshire,NO,NO,IgGM1
2-234-IgGM1-1_S46,Holstein,234,NO,IgGM1
20-261-IgGM1-1_S64,Ayrshire,NO,NO,IgGM1
21-262-IgGM1-1_S65,Ayrshire,NO,NO,IgGM1
22-264-IgGM1-1_S66,Ayrshire,NO,NO,IgGM1
23-267-IgGM1-1_S67,Holstein,NO,NO,IgGM1
24-268-IgGM1-1_S68,Ayrshire,NO,NO,IgGM1
25-271-IgGM1-1_S69,Ayrshire,NO,NO,IgGM1
27-266-IgGM1-1_S71,Ayrshire,NO,NO,IgGM1
28-272-IgGM1-1_S72,Ayrshire,NO,NO,IgGM1
29-273-IgGM1-1_S73,Ayrshire,NO,NO,IgGM1
3-241-IgGM1-1_S47,Holstein,241,241,IgGM1
30-275-IgGM1-1_S74,Ayrshire,NO,NO,IgGM1
31-277-IgGM1-1_S75,Ayrshire,NO,NO,IgGM1
32-234-IgGM1-1_S76,Holstein,NO,234,IgGM1
33-241-IgGM1-1_S77,Holstein,NO,241,IgGM1
34-253-IgGM1-1_S78,Holstein,NO,253,IgGM1
35-603-IgGM1-1_S79,Holstein,NO,603,IgGM1
36-618-IgGM1-1_S80,Holstein,NO,618,IgGM1
37-278-IgGM1-1_S81,Holstein,NO,278,IgGM1
38-9004-IgGM1-1_S82,Holstein,NO,9004,IgGM1
39-279-IgGM1-1_S83,Holstein,NO,279,IgGM1
4-241-IgGM1-1_S48,Holstein,241,NO,IgGM1
40-281-IgGM1-1_S84,Holstein,NO,281,IgGM1
41-291-IgGM1-1_S85,Holstein,NO,291,IgGM1
42-637-IgGM1-1_S86,Holstein,NO,637,IgGM1
43-641-IgGM1-1_S87,Holstein,NO,641,IgGM1
44-720-IgGM1-1_S88,Holstein,NO,720,IgGM1
5-253-IgGM1-1_S49,Holstein,253,253,IgGM1
6-253-IgGM1-1_S50,Holstein,253,NO,IgGM1
7-603-IgGM1-1_S51,Holstein,603,603,IgGM1
8-603-IgGM1-1_S52,Holstein,603,NO,IgGM1
9-618-IgGM1-1_S53,Holstein,618,618,IgGM1
1-234-IgGM2-1_S177,Holstein,234,234,IgGM2
